['4026033', '2018-02-16 15:30:06', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026036', '2018-02-16 15:30:17', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026044', '2018-02-16 15:30:38', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026049', '2018-02-16 15:30:48', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-25.00', '868.100', '51.468000', '5.804200', '77.2', '', '1.4', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026053', '2018-02-16 15:30:59', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '25.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026062', '2018-02-16 15:31:09', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-29.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026067', '2018-02-16 15:31:20', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '25.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026073', '2018-02-16 15:31:30', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026118', '2018-02-16 15:31:59', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '29.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026119', '2018-02-16 15:32:02', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '24.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026125', '2018-02-16 15:32:13', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '25.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026131', '2018-02-16 15:32:23', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '24.00', '-30.00', '868.100', '51.468000', '5.804200', '72.8', '', '1.3', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026135', '2018-02-16 15:32:34', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-31.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026138', '2018-02-16 15:32:44', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026141', '2018-02-16 15:32:55', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026145', '2018-02-16 15:33:05', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-31.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026151', '2018-02-16 15:33:16', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026155', '2018-02-16 15:33:26', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026158', '2018-02-16 15:33:37', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026161', '2018-02-16 15:33:47', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '25.00', '-29.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026163', '2018-02-16 15:33:58', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026166', '2018-02-16 15:34:09', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '29.00', '-31.00', '868.100', '51.468000', '5.804200', '76.6', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026244', '2018-02-16 15:37:27', '165980118', 'sodaqexpl', 'b827ebffff794e30', '', 'SF7BW125', '-8.50', '-113.00', '868.100', '51.468853', '3.600178', '1.4', '10.54', '', '', 'ios', 'iOS 11.2.5 - org.ttnmapper.ios.TTNMapper:24'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
