['2115376', '2017-08-02 16:44:23', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102066', '-6.100788', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115448', '2017-08-02 16:52:08', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-76.00', '868.100', '53.102084', '-6.100792', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115457', '2017-08-02 16:53:15', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-77.00', '868.100', '53.102088', '-6.100794', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115462', '2017-08-02 16:54:22', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-76.00', '868.100', '53.102091', '-6.100794', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115471', '2017-08-02 16:55:29', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102069', '-6.100788', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115489', '2017-08-02 16:56:35', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102062', '-6.100786', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115520', '2017-08-02 16:57:41', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115526', '2017-08-02 16:58:48', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115532', '2017-08-02 16:59:54', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115541', '2017-08-02 17:01:00', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102059', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115552', '2017-08-02 17:02:06', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-78.00', '868.100', '53.102060', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115562', '2017-08-02 17:03:12', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
