['2757309', '2017-09-28 14:55:17', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757310', '2017-09-28 14:55:17', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.50', '-39.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757388', '2017-09-28 14:57:29', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757389', '2017-09-28 14:57:29', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.75', '-41.00', '868.100', '53.102089', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757455', '2017-09-28 14:59:41', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-44.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757456', '2017-09-28 14:59:41', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.00', '-39.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757523', '2017-09-28 15:01:54', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-44.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757524', '2017-09-28 15:01:54', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.25', '-41.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757596', '2017-09-28 15:04:06', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-44.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757597', '2017-09-28 15:04:06', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '8.50', '-39.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
