['282729', '2016-05-31 18:07:11', '02E00612', '', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-27.00', '868.100', '52.184273', '5.943838', '13.8', '4.70', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['282733', '2016-05-31 20:29:22', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-51.00', '868.100', '52.184290', '5.943905', '48.6', '3.90', '', '', 'gps', ''],1464652800,Mostly Cloudy,partly-cloudy-night,60.77,61,59.27,0.95,1004.93,1.83,2.67,
['283102', '2016-06-02 04:45:26', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-66.00', '868.100', '52.184222', '5.943760', '19.3', '4.90', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283103', '2016-06-02 04:45:36', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-69.00', '868.100', '52.184248', '5.943745', '21.2', '3.30', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283104', '2016-06-02 04:45:45', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-79.00', '868.100', '52.184357', '5.943637', '20.3', '3.10', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283201', '2016-06-02 13:28:31', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '8.00', '-86.00', '868.100', '52.184952', '5.943248', '12.1', '3.10', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283202', '2016-06-02 13:28:40', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-73.00', '868.100', '52.184427', '5.943533', '9.8', '3.10', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283203', '2016-06-02 13:28:50', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-69.00', '868.100', '52.184263', '5.943787', '9.6', '3.10', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283204', '2016-06-02 13:28:59', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-71.00', '868.100', '52.184308', '5.943747', '9.1', '2.20', '', '', 'gps', ''],1464825600,Overcast,cloudy,63.9,63.9,58,0.81,1011.87,5.29,6.22,
['283612', '2016-06-03 15:17:48', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-82.00', '868.100', '52.184555', '5.943560', '17.7', '2.70', '', '', 'gps', ''],1464912000,Foggy,fog,57.41,57.41,55.58,0.94,1012.52,2.45,1.12,
['283613', '2016-06-03 15:17:58', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-77.00', '868.100', '52.184197', '5.943860', '16.4', '2.90', '', '', 'gps', ''],1464912000,Foggy,fog,57.41,57.41,55.58,0.94,1012.52,2.45,1.12,
['283614', '2016-06-03 15:18:07', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-68.00', '868.100', '52.184210', '5.943827', '17.3', '2.80', '', '', 'gps', ''],1464912000,Foggy,fog,57.41,57.41,55.58,0.94,1012.52,2.45,1.12,
['283878', '2016-06-04 14:17:02', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-57.00', '868.100', '52.184133', '5.943753', '51.3', '5.00', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283879', '2016-06-04 14:17:12', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-57.00', '868.100', '52.184177', '5.943825', '50.9', '4.00', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283880', '2016-06-04 14:17:21', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-57.00', '868.100', '52.184145', '5.943823', '50.5', '3.80', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283881', '2016-06-04 14:17:31', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-56.00', '868.100', '52.184140', '5.943798', '50.4', '3.50', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283882', '2016-06-04 14:17:40', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-53.00', '868.100', '52.184140', '5.943798', '50.4', '6.90', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283883', '2016-06-04 14:17:50', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-52.00', '868.100', '52.184140', '5.943798', '50.4', '4.70', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283884', '2016-06-04 14:18:00', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-52.00', '868.100', '52.184140', '5.943798', '50.4', '2.00', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283885', '2016-06-04 14:18:09', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-56.00', '868.100', '52.184140', '5.943798', '50.4', '3.20', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283886', '2016-06-04 14:18:19', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-52.00', '868.100', '52.184140', '5.943798', '50.4', '3.60', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283887', '2016-06-04 14:18:28', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-53.00', '868.100', '52.184140', '5.943798', '50.4', '3.60', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283888', '2016-06-04 14:18:38', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-60.00', '868.100', '52.184182', '5.943825', '19.0', '3.40', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283889', '2016-06-04 14:18:48', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-61.00', '868.100', '52.184208', '5.943758', '19.1', '3.40', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283956', '2016-06-04 16:12:01', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-70.00', '868.100', '52.184668', '5.943367', '9.9', '3.60', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283957', '2016-06-04 16:12:10', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-65.00', '868.100', '52.184237', '5.943708', '7.8', '3.50', '', '', 'gps', ''],1464998400,Foggy,fog,61.36,61.47,58.69,0.91,1012.63,1.19,1.49,
['283958', '2016-06-05 08:22:23', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-48.00', '868.100', '52.184303', '5.943758', '48.3', '30.00', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['283959', '2016-06-05 08:22:33', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-47.00', '868.100', '52.184313', '5.943910', '8.2', '6.50', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['283960', '2016-06-05 08:22:43', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-50.00', '868.100', '52.184237', '5.943900', '14.2', '4.30', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['283961', '2016-06-05 08:22:52', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-55.00', '868.100', '52.184220', '5.943853', '16.2', '3.80', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['283962', '2016-06-05 08:23:02', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-55.00', '868.100', '52.184215', '5.943862', '17.5', '3.30', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
