['4236288', '2018-02-26 16:18:06', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '3.50', '-113.00', '868.500', '51.918600', '4.245000', '3.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236289', '2018-02-26 16:18:06', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-12.20', '-113.00', '868.500', '51.918600', '4.245000', '3.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236290', '2018-02-26 16:18:06', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '9.00', '-65.00', '868.500', '51.918600', '4.245000', '3.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236291', '2018-02-26 16:18:06', 'skylab_tracker_0001', 'skylab_main', 'B827EBFFFEAA660C', '', 'SF9BW125', '-12.00', '-124.00', '868.500', '51.918600', '4.245000', '3.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236594', '2018-02-26 16:35:32', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-9.20', '-114.00', '868.100', '51.918500', '4.245100', '2.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236595', '2018-02-26 16:35:32', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '3.80', '-118.00', '868.100', '51.918500', '4.245100', '2.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236596', '2018-02-26 16:35:32', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '12.80', '-63.00', '868.100', '51.918500', '4.245100', '2.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236606', '2018-02-26 16:36:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '6.00', '-112.00', '868.300', '51.918400', '4.245200', '13.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236607', '2018-02-26 16:36:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '10.00', '-71.00', '868.300', '51.918400', '4.245200', '13.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236631', '2018-02-26 16:37:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-1.20', '-118.00', '868.500', '51.918000', '4.243000', '2.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
