4841565,2018-03-20 13:01:45,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-13.50,-120.00,868.100,51.918952,4.246717,48.1,10.00,,,fused,Android7.0 App30:2018.03.04
4841568,2018-03-20 13:01:56,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-7.00,-118.00,868.100,51.918228,4.245937,48.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841569,2018-03-20 13:01:56,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,1.80,-114.00,868.100,51.918228,4.245937,48.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841570,2018-03-20 13:01:56,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,7.50,-60.00,868.100,51.918228,4.245937,48.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841571,2018-03-20 13:01:56,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-15.00,-122.00,868.100,51.918228,4.245937,48.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841572,2018-03-20 13:01:56,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-10.00,-100.00,868.100,51.918228,4.245937,48.7,10.00,,,fused,Android7.0 App30:2018.03.04
4841575,2018-03-20 13:02:06,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-5.00,-119.00,868.500,51.918327,4.245129,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841576,2018-03-20 13:02:06,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-10.20,-121.00,868.500,51.918327,4.245129,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841577,2018-03-20 13:02:06,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-11.50,-99.00,868.500,51.918327,4.245129,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841578,2018-03-20 13:02:06,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,5.50,-48.00,868.500,51.918327,4.245129,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841579,2018-03-20 13:02:06,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-5.80,-105.00,868.500,51.918327,4.245129,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841584,2018-03-20 13:02:16,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-6.20,-114.00,868.500,51.918465,4.245143,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841585,2018-03-20 13:02:16,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,6.80,-46.00,868.500,51.918465,4.245143,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841586,2018-03-20 13:02:16,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-9.00,-117.00,868.500,51.918465,4.245143,49.0,10.00,,,fused,Android7.0 App30:2018.03.04
4841591,2018-03-20 13:02:27,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-6.50,-123.00,868.100,51.918490,4.245185,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841592,2018-03-20 13:02:27,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-11.00,-121.00,868.100,51.918490,4.245185,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841593,2018-03-20 13:02:27,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,-1.80,-109.00,868.100,51.918490,4.245185,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841594,2018-03-20 13:02:27,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-12.00,-121.00,868.100,51.918490,4.245185,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841595,2018-03-20 13:02:27,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,9.20,-44.00,868.100,51.918490,4.245185,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841599,2018-03-20 13:02:37,ttn-mapper,iot-partners,0000024B080E0021,,SF12BW125,-10.80,-119.00,868.100,51.918491,4.245186,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841600,2018-03-20 13:02:37,ttn-mapper,iot-partners,0000024B080309D3,,SF12BW125,0.00,-110.00,868.100,51.918491,4.245186,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841601,2018-03-20 13:02:37,ttn-mapper,iot-partners,7276FF00390301F1,,SF12BW125,-9.20,-121.00,868.100,51.918491,4.245186,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841602,2018-03-20 13:02:37,ttn-mapper,iot-partners,B827EBFFFEAA660C,,SF12BW125,-17.80,-124.00,868.100,51.918491,4.245186,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841603,2018-03-20 13:02:37,ttn-mapper,iot-partners,FCC23DFFFE0F508E,,SF12BW125,8.20,-44.00,868.100,51.918491,4.245186,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4841604,2018-03-20 13:02:37,ttn-mapper,iot-partners,7276FF00390300DA,,SF12BW125,-12.80,-124.00,868.100,51.918491,4.245186,49.2,10.00,,,fused,Android7.0 App30:2018.03.04
4942691,2018-03-22 16:38:03,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,6.50,-63.00,868.500,51.918458,4.244574,12.9,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942696,2018-03-22 16:38:08,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-9.20,-123.00,868.100,51.918458,4.244574,10.5,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942697,2018-03-22 16:38:08,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,5.80,-61.00,868.100,51.918458,4.244574,10.5,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942705,2018-03-22 16:38:13,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-7.50,-119.00,868.300,51.918458,4.244574,13.5,5.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942706,2018-03-22 16:38:13,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,8.00,-57.00,868.300,51.918458,4.244574,13.5,5.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942741,2018-03-22 16:39:27,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-16.00,-121.00,868.300,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
