['5421025', '2018-04-06 10:08:01', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '3.75', '-114.00', '868.300', '46.554200', '15.636800', '268.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421026', '2018-04-06 10:08:01', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '8.75', '-90.00', '868.300', '46.554200', '15.636800', '268.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421032', '2018-04-06 10:08:02', 'gpsnode1', '123442223112333', 'maribor-pohorje-gateway', 'LORA', 'SF8BW125', '-9.25', '-113.00', '868.300', '46.554200', '15.636800', '268.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421054', '2018-04-06 10:09:00', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '1.25', '-115.00', '868.500', '46.554200', '15.636800', '270.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421055', '2018-04-06 10:09:00', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '5.50', '-91.00', '868.500', '46.554200', '15.636800', '270.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421056', '2018-04-06 10:09:00', 'gpsnode1', '123442223112333', 'maribor-pohorje-gateway', 'LORA', 'SF8BW125', '-9.00', '-112.00', '868.500', '46.554200', '15.636800', '270.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421077', '2018-04-06 10:10:00', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '7.00', '-90.00', '868.500', '46.554200', '15.636800', '264.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421079', '2018-04-06 10:10:00', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.75', '-114.00', '868.500', '46.554200', '15.636800', '264.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421080', '2018-04-06 10:10:00', 'gpsnode1', '123442223112333', 'maribor-pohorje-gateway', 'LORA', 'SF8BW125', '-4.75', '-114.00', '868.500', '46.554200', '15.636800', '264.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421086', '2018-04-06 10:10:59', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '2.00', '-118.00', '868.100', '46.554200', '15.636800', '269.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421087', '2018-04-06 10:10:59', 'gpsnode1', '123442223112333', 'irnas-3g', 'LORA', 'SF8BW125', '7.25', '-94.00', '868.100', '46.554200', '15.636800', '269.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
['5421103', '2018-04-06 10:11:59', 'gpsnode1', '123442223112333', 'maribor-center-gateway', 'LORA', 'SF8BW125', '3.00', '-115.00', '868.100', '46.554200', '15.636800', '271.0', '', '', '', 'Cayenne LPP', 'ttn_http_integration_v2'],1522972800,Mostly Cloudy,partly-cloudy-night,41.5,41.5,39.83,0.94,1018.62,0.85,6.22,
