['1443293', '2017-04-28 12:53:20', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-10.00', '-112.00', '868.100', '46.455718', '15.665314', '280.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443318', '2017-04-28 13:03:18', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.50', '-112.00', '868.300', '46.455718', '15.665314', '280.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443324', '2017-04-28 13:05:28', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.00', '-111.00', '868.100', '46.455718', '15.665314', '280.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443325', '2017-04-28 13:06:05', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.20', '-112.00', '868.500', '46.455718', '15.665314', '279.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443329', '2017-04-28 13:07:19', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.50', '-110.00', '867.700', '46.455718', '15.665314', '279.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443332', '2017-04-28 13:08:33', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.80', '-113.00', '868.500', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443337', '2017-04-28 13:09:48', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.50', '-111.00', '867.700', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443340', '2017-04-28 13:10:44', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.20', '-111.00', '868.300', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443347', '2017-04-28 13:13:08', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.20', '-110.00', '868.300', '46.455718', '15.665314', '279.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443371', '2017-04-28 13:25:26', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.80', '-111.00', '868.300', '46.455718', '15.665314', '278.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443378', '2017-04-28 13:28:11', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.20', '-112.00', '868.500', '46.455718', '15.665314', '277.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443381', '2017-04-28 13:29:08', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.50', '-109.00', '867.500', '46.455718', '15.665314', '277.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443392', '2017-04-28 13:31:55', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.00', '-112.00', '867.700', '46.455718', '15.665314', '277.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443397', '2017-04-28 13:35:38', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.20', '-111.00', '868.500', '46.455718', '15.665314', '277.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443404', '2017-04-28 13:37:46', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.20', '-109.00', '868.300', '46.455718', '15.665314', '276.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443406', '2017-04-28 13:38:05', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.20', '-111.00', '868.500', '46.455718', '15.665314', '276.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443409', '2017-04-28 13:39:40', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-9.20', '-111.00', '867.900', '46.455718', '15.665314', '276.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443416', '2017-04-28 13:42:45', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.00', '-109.00', '868.300', '46.455718', '15.665314', '276.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
