['1047459', '2017-02-14 22:32:16', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '1.80', '-112.00', '868.300', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047460', '2017-02-14 22:32:16', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '1.80', '-112.00', '868.300', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047461', '2017-02-14 22:32:21', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.00', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.93', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047462', '2017-02-14 22:32:21', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.00', '-114.00', '868.500', '52.022590', '4.692522', '0.0', '19.93', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047463', '2017-02-14 22:32:28', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.50', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047464', '2017-02-14 22:32:28', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.50', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.92', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047470', '2017-02-14 22:32:42', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.95', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047471', '2017-02-14 22:32:42', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.95', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047472', '2017-02-14 22:32:50', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '0.50', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.15', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047473', '2017-02-14 22:32:50', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '0.50', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.15', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047474', '2017-02-14 22:32:57', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047475', '2017-02-14 22:32:57', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.20', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047476', '2017-02-14 22:33:00', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-8.20', '-113.00', '868.300', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047477', '2017-02-14 22:33:00', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-8.20', '-113.00', '868.300', '52.022590', '4.692522', '0.0', '19.13', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047481', '2017-02-14 22:33:04', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.80', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.10', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047482', '2017-02-14 22:33:04', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.80', '-113.00', '868.500', '52.022590', '4.692522', '0.0', '19.10', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047483', '2017-02-14 22:33:27', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047484', '2017-02-14 22:33:27', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '3.80', '-115.00', '868.100', '52.022590', '4.692522', '0.0', '19.99', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047485', '2017-02-14 22:33:29', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '1.50', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.09', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047486', '2017-02-14 22:33:29', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '1.50', '-114.00', '868.300', '52.022590', '4.692522', '0.0', '19.09', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047487', '2017-02-14 22:33:41', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.50', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '20.00', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047488', '2017-02-14 22:33:41', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '4.50', '-114.00', '868.100', '52.022590', '4.692522', '0.0', '20.00', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
['1047489', '2017-02-14 22:33:43', 'mapper1', 'ttnmapper', '008000000000B8B6', '', 'SF7BW125', '-1.20', '-111.00', '868.300', '52.022590', '4.692522', '0.0', '20.00', '', '', 'fused', 'Android5.1 App20:2017.02.13'],1487030400,Mostly Cloudy,partly-cloudy-night,35.72,30.65,29.68,0.78,1016.27,6.01,6.22,
